IPN,MPN,Manufacturer,Description,Symbol,Footprint,Capacitance,Voltage,Material,Tolerance,Datasheet,Voltage Rating (AC),Series,Length,Width,Height,Mounting Type,Package/Case,Polarization,Lead Spacing
CAP-2004-0002,EEA-GA1H2R2H,Panasonic,CAP ALUM POL  20% 50V RADIAL 2.2u,Device:C_Polarized_US,g-cap:CP_Radial_D4.0mm_H7.0mm_P2.50mm,2.2u,50V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf,N/A,GA-A,4,4,7,Through Hole,Radial,Polar,2.5mm
CAP-2004-0003,EEA-GA1H3R3H,Panasonic,CAP ALUM POL  20% 50V RADIAL 3.3u,Device:C_Polarized_US,g-cap:CP_Radial_D4.0mm_H7.0mm_P2.50mm,3.3u,50V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf,N/A,GA-A,4,4,7,Through Hole,Radial,Polar,2.5mm
CAP-2004-0004,EEA-GA1H4R7H,Panasonic,CAP ALUM POL  20% 50V RADIAL 4.7u,Device:C_Polarized_US,g-cap:CP_Radial_D4.0mm_H7.0mm_P2.50mm,4.7u,50V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf,N/A,GA-A,4,4,7,Through Hole,Radial,Polar,2.5mm
CAP-2004-0005,EEA-GA1H6R8H,Panasonic,CAP ALUM POL  20% 50V RADIAL 6.8u,Device:C_Polarized_US,g-cap:CP_Radial_D5.0mm_H7.0mm_P2.50mm,6.8u,50V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf,N/A,GA-A,5,5,7,Through Hole,Radial,Polar,2.5mm
CAP-2004-0006,EEA-GA1V100H,Panasonic,CAP ALUM POL  20% 35V RADIAL 10u,Device:C_Polarized_US,g-cap:CP_Radial_D5.0mm_H7.0mm_P2.50mm,10u,35V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf,N/A,GA-A,5,5,7,Through Hole,Radial,Polar,2.5mm
CAP-2004-0007,EEA-GA1E150H,Panasonic,CAP ALUM POL  20% 25V RADIAL 15u,Device:C_Polarized_US,g-cap:CP_Radial_D5.0mm_H7.0mm_P2.50mm,15u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf,N/A,GA-A,5,5,7,Through Hole,Radial,Polar,2.5mm
CAP-2004-0008,EEA-GA1E220H,Panasonic,CAP ALUM POL  20% 25V RADIAL 22u,Device:C_Polarized_US,g-cap:CP_Radial_D5.0mm_H7.0mm_P2.50mm,22u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf,N/A,GA-A,5,5,7,Through Hole,Radial,Polar,2.5mm
CAP-2004-0009,EEA-GA1E330,Panasonic,CAP ALUM POL  20% 35V RADIAL 33u,Device:C_Polarized_US,g-cap:CP_Radial_D6.3mm_H7.0mm_P2.50mm,33u,35V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf,N/A,GA-A,6.3,6.3,7,Through Hole,Radial,Polar,2.5mm
CAP-2005-0001,EEU-FR1H470,Panasonic,CAP ALUM POL  20% 50V RADIAL 47u,Device:C_Polarized_US,g-cap:CP_Radial_D6.3mm_H11.0mm_P2.50mm,47u,50V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf,N/A,FR-A,5,5,11,Through Hole,Radial,Polar,2.5mm
CAP-2005-0002,EEU-FR1V680H,Panasonic,CAP ALUM POL  20% 35V RADIAL 68u,Device:C_Polarized_US,g-cap:CP_Radial_D6.3mm_H11.0mm_P2.50mm,68u,35V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf,N/A,FR-A,5,5,11,Through Hole,Radial,Polar,2.5mm
CAP-2005-0003,EEU-FR1E101,Panasonic,CAP ALUM POL  20% 25V RADIAL 100u,Device:C_Polarized_US,g-cap:CP_Radial_D6.3mm_H11.0mm_P2.50mm,100u,25V,Aluminum Electrolytic,20.00%,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf,N/A,FR-A,6.3,6.3,11.2,Through Hole,Radial,Polar,2.5mm
