IPN,MPN,Manufacturer,Series,Type,Resistance,Taper,Value,Turns,Gangs,Switch,Switch Type,Adjustment Type,Description,Shaft Diameter,Length,Width,Height,Footprint,Symbol,Mounting Type,Material,Tolerance,Datasheet
POT-0006-0002,3362S-1-202LF,Bourns,3362S,Trimmer,2k,Linear,B2k,1,1,None,N/A,Side,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 2K,N/A,6.6,4.9,7,BB_Potentiometers:Potentiometer_Bourns_3362S_Horizontal,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0006-0003,3362S-1-502LF,Bourns,3362S,Trimmer,5k,Linear,B5k,1,1,None,N/A,Side,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 5K,N/A,6.6,4.9,7,BB_Potentiometers:Potentiometer_Bourns_3362S_Horizontal,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0006-0004,3362S-1-103LF,Bourns,3362S,Trimmer,10k,Linear,B10k,1,1,None,N/A,Side,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 10K,N/A,6.6,4.9,7,BB_Potentiometers:Potentiometer_Bourns_3362S_Horizontal,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0006-0005,3362S-1-203LF,Bourns,3362S,Trimmer,20k,Linear,B20k,1,1,None,N/A,Side,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 20K,N/A,6.6,4.9,7,BB_Potentiometers:Potentiometer_Bourns_3362S_Horizontal,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0006-0006,3362S-1-503LF,Bourns,3362S,Trimmer,50k,Linear,B50k,1,1,None,N/A,Side,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 50K,N/A,6.6,4.9,7,BB_Potentiometers:Potentiometer_Bourns_3362S_Horizontal,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0006-0007,3362S-1-104LF,Bourns,3362S,Trimmer,100k,Linear,B100k,1,1,None,N/A,Side,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 100K,N/A,6.6,4.9,7,BB_Potentiometers:Potentiometer_Bourns_3362S_Horizontal,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0006-0008,3362S-1-204LF,Bourns,3362S,Trimmer,200k,Linear,B200k,1,1,None,N/A,Side,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 200K,N/A,6.6,4.9,7,BB_Potentiometers:Potentiometer_Bourns_3362S_Horizontal,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0006-0009,3362S-1-304LF,Bourns,3362S,Trimmer,500k,Linear,B500k,1,1,None,N/A,Side,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 500K,N/A,6.6,4.9,7,BB_Potentiometers:Potentiometer_Bourns_3362S_Horizontal,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0006-0010,3362S-1-105LF,Bourns,3362S,Trimmer,1M,Linear,B1M,1,1,None,N/A,Side,POT TRIM LINEAR PTH 1-TURN SIDE-ADJ 1M,N/A,6.6,4.9,7,BB_Potentiometers:Potentiometer_Bourns_3362S_Horizontal,BlackBox:R_Potentiometer_Trim_US,PTH,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3362.pdf
POT-0003-0001,3361P-1-102GLF,Bourns,3361P,Trimmer,1k,Linear,B1k,1,1,None,N/A,Top,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 1K,N/A,6.7,7,5.2,,BlackBox:R_Potentiometer_Trim_US,SMD,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3361.pdf
POT-0003-0002,3361P-1-202GLF,Bourns,3361P,Trimmer,2k,Linear,B2k,1,1,None,N/A,Top,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 2K,N/A,6.7,7,5.2,,BlackBox:R_Potentiometer_Trim_US,SMD,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3361.pdf
POT-0003-0003,3361P-1-502GLF,Bourns,3361P,Trimmer,5k,Linear,B5k,1,1,None,N/A,Top,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 5K,N/A,6.7,7,5.2,,BlackBox:R_Potentiometer_Trim_US,SMD,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3361.pdf
POT-0003-0004,3361P-1-103GLF,Bourns,3361P,Trimmer,10k,Linear,B10k,1,1,None,N/A,Top,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 10K,N/A,6.7,7,5.2,,BlackBox:R_Potentiometer_Trim_US,SMD,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3361.pdf
POT-0003-0005,3361P-1-203GLF,Bourns,3361P,Trimmer,20k,Linear,B20k,1,1,None,N/A,Top,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 20K,N/A,6.7,7,5.2,,BlackBox:R_Potentiometer_Trim_US,SMD,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3361.pdf
POT-0003-0006,3361P-1-503GLF,Bourns,3361P,Trimmer,50k,Linear,B50k,1,1,None,N/A,Top,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 50K,N/A,6.7,7,5.2,,BlackBox:R_Potentiometer_Trim_US,SMD,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3361.pdf
POT-0003-0007,3361P-1-104GLF,Bourns,3361P,Trimmer,100k,Linear,B100k,1,1,None,N/A,Top,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 100K,N/A,6.7,7,5.2,,BlackBox:R_Potentiometer_Trim_US,SMD,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3361.pdf
POT-0003-0008,3361P-1-204GLF,Bourns,3361P,Trimmer,200k,Linear,B200k,1,1,None,N/A,Top,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 200K,N/A,6.7,7,5.2,,BlackBox:R_Potentiometer_Trim_US,SMD,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3361.pdf
POT-0003-0009,3361P-1-304GLF,Bourns,3361P,Trimmer,500k,Linear,B500k,1,1,None,N/A,Top,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 500K,N/A,6.7,7,5.2,,BlackBox:R_Potentiometer_Trim_US,SMD,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3361.pdf
POT-0003-0010,3361P-1-105GLF,Bourns,3361P,Trimmer,1M,Linear,B1M,1,1,None,N/A,Top,POT TRIM LINEAR SMD 1-TURN TOP-ADJ 1M,N/A,6.7,7,5.2,,BlackBox:R_Potentiometer_Trim_US,SMD,Cermet,10%,https://www.bourns.com/docs/Product-Datasheets/3361.pdf
