"IPN","MPN","Value","Manufacturer","Series","Capacitance","Description","Length","Width","Height","Footprint","Symbol","Mounting Type","Package / Case","Polarization","Voltage Rating (AC)","Voltage Rating (DC)","supplier","Material","Tolerance","Lead Spacing","Datasheet","Base MPN","Mouser Stocked MPN","Price","Stock"
"CAP-0004-0004","EEA-GA1H4R7H","4.7u","Panasonic","GA-A","4.7u","CAP ALUM POL  20% 50V RADIAL 4.7u","4","4","7","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","50V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf","EEA-GA1H4R7H","EEA-GA1H4R7H","$0.117","10"
"CAP-0004-0005","EEA-GA1H6R8H","6.8u","Panasonic","GA-A","6.8u","CAP ALUM POL  20% 50V RADIAL 6.8u","5","5","7","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","50V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf","EEA-GA1H6R8H","EEA-GA1H6R8H","$0.187","10"
"CAP-0004-0006","EEA-GA1V100H","10u","Panasonic","GA-A","10u","CAP ALUM POL  20% 35V RADIAL 10u","5","5","7","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","35V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf","EEA-GA1V100H","EEA-GA1V100H","$0.134","10"
"CAP-0004-0007","EEA-GA1E150H","15u","Panasonic","GA-A","15u","CAP ALUM POL  20% 25V RADIAL 15u","5","5","7","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","25V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf","EEA-GA1E150H","EEA-GA1E150H","$0.117","4"
"CAP-0004-0008","EEA-GA1E220H","22u","Panasonic","GA-A","22u","CAP ALUM POL  20% 25V RADIAL 22u","5","5","7","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","25V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf","EEA-GA1E220H","EEA-GA1E220H","$0.134","10"
"CAP-0004-0009","EEA-GA1E330","33u","Panasonic","GA-A","33u","CAP ALUM POL  20% 35V RADIAL 33u","6.3","6.3","7","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","35V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1041.pdf","EEA-GA1E330","EEA-GA1E330","$0.229","4"
"CAP-0005-0001","EEU-FR1H470","47u","Panasonic","FR-A","47u","CAP ALUM POL  20% 50V RADIAL 47u","5","5","11","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","50V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","EEU-FR1H470","EEU-FR1H470","$0.248","10"
"CAP-0005-0002","EEU-FR1V680H","68u","Panasonic","FR-A","68u","CAP ALUM POL  20% 35V RADIAL 68u","5","5","11","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","35V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","EEU-FR1V680H","EEU-FR1V680H","$0.192","4"
"CAP-0005-0003","EEU-FR1E101","100u","Panasonic","FR-A","100u","CAP ALUM POL  20% 25V RADIAL 100u","6.3","6.3","11.2","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","25V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","EEU-FR1E101","EEU-FR1E101","$0.167","10"
"CAP-0005-0004","EEU-FR1E151","150u","Panasonic","FR-A","150u","CAP ALUM POL  20% 25V RADIAL 150u","6.3","6.3","11.2","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","25V","Digikey","Aluminum Electrolytic","20%","2.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","EEU-FR1E151","EEU-FR1E151","$0.223",""
"CAP-0005-0005","EEU-FR1E221","220u","Panasonic","FR-A","220u","CAP ALUM POL  20% 25V RADIAL 220u","8","8","11.5","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","25V","Digikey","Aluminum Electrolytic","20%","3.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","EEU-FR1E221","EEU-FR1E221","$0.383","10"
"CAP-0005-0006","EEU-FR1E331","330u","Panasonic","FR-A","330u","CAP ALUM POL  20% 25V RADIAL 330u","8","8","11.5","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","25V","Digikey","Aluminum Electrolytic","20%","3.5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","EEU-FR1E331","EEU-FR1E331","$0.28",""
"CAP-0005-0007","EEU-FR1E471YB","470u","Panasonic","FR-A","470u","CAP ALUM POL  20% 25V RADIAL 470u","10","10","12.5","Capacitor_THT:CP_Radial_D10.0mm_P5.0mm","Device:C_Polarized_US","Through Hole","Radial","Polar","N/A","25V","Digikey","Aluminum Electrolytic","20%","5mm","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf","EEU-FR1E471YB","EEU-FR1E471YB","$0.364","4"
